Date,Close,chg,nextWeekChg,signal,predictChg,PredClose,Predict,d_0,d_1,d_2,d_3,d_4,sum
2016-08-26,188.60000610351562,-0.0026441035635201837,1.0116648826990742,True,1.0196263,192.3015188222962,1,1,1.0,1.0,1.0,1.0,5.0
2016-08-29,188.0,-0.003181368420456465,1.0340425207259807,True,1.0185916,191.49522876739502,1,1,1.0,1.0,1.0,1.0,5.0
2016-08-30,190.10000610351562,0.011170245231466147,1.0420831127992902,True,1.0165757,193.25104565008587,1,1,1.0,1.0,1.0,1.0,5.0
2016-08-31,189.6999969482422,-0.002104203800265103,1.0437533114669602,True,1.014173,192.38862085785513,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-01,190.1999969482422,0.002635740685522636,1.0441640866984834,True,1.0119034,192.46402457896147,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-02,190.8000030517578,0.003154606273095162,1.0985325091774658,True,1.009666,192.6442694005309,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-05,194.39999389648438,0.018867876242905535,1.0339506497465738,True,1.007158,195.79151702326635,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-06,198.10000610351562,0.01903298520164287,0.9994951736474791,False,1.0062895,199.3459525492217,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-07,198.0,-0.0005048263525210261,1.0065656719785747,True,1.0061532,199.21833872795105,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-08,198.60000610351562,0.003030333856139489,1.0251762328617144,True,1.0059695,199.78555368252273,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-09,209.60000610351562,0.05538771229577155,0.97423659829186,False,1.0060332,210.86456111775624,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-12,201.0,-0.041030562276168636,1.030845755961404,True,1.006847,202.37625181674957,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-13,198.0,-0.014925373134328401,1.0505050505050506,True,1.006149,199.21751260757446,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-14,199.3000030517578,0.006565671978574716,1.0376317104122283,True,1.0044863,200.19412712035773,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-15,203.60000610351562,0.021575529282059858,1.0068761977137297,True,1.0029174,204.19399058215276,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-19,204.1999969482422,0.0029469097580552273,0.9941234232802347,False,1.0014781,204.50182005908027,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-20,207.1999969482422,0.014691479161776932,0.9913127264562295,False,1.0005186,207.30744266351758,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-21,208.0,0.0038610186464320684,0.9923076629638673,False,0.99990946,207.98116779327393,0,0,1.0,1.0,1.0,1.0,4.0
2016-09-22,206.8000030517578,-0.005769216097318175,1.0,False,1.000059,206.81220603007205,1,1,0.0,1.0,1.0,1.0,4.0
2016-09-23,205.0,-0.00870407652415417,0.9941463563500382,False,1.0002949,205.06045937538147,1,1,1.0,0.0,1.0,1.0,4.0
2016-09-26,203.0,-0.009756097560975618,1.0137931184815656,True,1.0012501,203.25378000736237,1,1,1.0,1.0,0.0,1.0,4.0
2016-09-27,205.39999389648438,0.011822630031942838,1.0087634036282638,True,1.0020375,205.8185015554045,1,1,1.0,1.0,1.0,0.0,4.0
2016-09-28,206.39999389648438,0.004868549317016857,1.004844961383582,True,1.002732,206.96388662578102,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-29,206.8000030517578,0.001938028910378975,1.006769796304761,True,1.0030551,207.43179684617644,1,1,1.0,1.0,1.0,1.0,5.0
2016-09-30,203.8000030517578,-0.014506769611841608,1.0245338563549,True,1.0028056,204.37178243062772,1,1,1.0,1.0,1.0,1.0,5.0
2016-10-03,205.8000030517578,0.009813542541959874,1.0048590864196854,True,1.0019029,206.19162767514172,1,1,1.0,1.0,1.0,1.0,5.0
2016-10-04,207.1999969482422,0.006802691330049626,0.9942085088517548,False,1.00118,207.44450387594588,1,1,1.0,1.0,1.0,1.0,5.0
