Date,0002.HK,0003.HK,0012.HK,0017.HK,1398.HK,3988.HK,0669.HK,2382.HK,1299.HK,0388.HK
2016-08-10,80.0,9.881237030029297,35.086402893066406,37.040000915527344,4.639999866485596,3.299999952316284,33.70000076293945,32.650001525878906,49.09999847412109,192.1000061035156
2016-08-11,80.5,9.908495903015137,34.372650146484375,36.959999084472656,4.739999771118164,3.369999885559082,33.5,33.599998474121094,49.5,197.6999969482422
2016-08-12,80.80000305175781,9.949383735656738,34.673179626464844,37.400001525878906,4.789999961853027,3.400000095367432,33.70000076293945,34.45000076293945,49.34999847412109,197.1000061035156
2016-08-15,80.44999694824219,10.003900527954102,34.97370147705078,37.119998931884766,4.869999885559082,3.4800000190734863,33.25,33.400001525878906,49.5,200.1999969482422
2016-08-16,80.0,9.949383735656738,34.74831008911133,37.119998931884766,4.849999904632568,3.470000028610229,34.099998474121094,37.900001525878906,48.59999847412109,200.6000061035156
2016-08-17,79.6500015258789,9.908495903015137,34.56047821044922,37.119998931884766,4.880000114440918,3.4600000381469727,34.099998474121094,36.84999847412109,48.75,191.1999969482422
2016-08-18,79.3499984741211,9.867608070373535,34.78587341308594,38.36000061035156,4.900000095367432,3.470000028610229,31.299999237060547,38.0,48.75,191.6000061035156
2016-08-19,79.69999694824219,9.853979110717772,34.673179626464844,39.040000915527344,4.909999847412109,3.450000047683716,30.5,38.95000076293945,48.09999847412109,191.1999969482422
2016-08-22,79.1500015258789,9.93575382232666,34.71074295043945,39.08000183105469,4.960000038146973,3.450000047683716,30.950000762939453,38.95000076293945,48.29999923706055,191.6999969482422
2016-08-23,79.8499984741211,9.922124862670898,34.82344055175781,39.59999847412109,5.0,3.470000028610229,30.549999237060547,38.0,48.59999847412109,189.6999969482422
2016-08-24,79.25,9.867608070373535,34.63561248779297,39.0,4.900000095367432,3.4100000858306885,30.350000381469727,38.0,48.400001525878906,189.1000061035156
2016-08-25,80.3499984741211,9.894866943359377,34.93613815307617,38.720001220703125,4.929999828338623,3.4100000858306885,30.700000762939453,37.650001525878906,48.04999923706055,189.1000061035156
2016-08-26,81.0,9.93575382232666,34.74831008911133,38.79999923706055,4.940000057220459,3.4100000858306885,30.950000762939453,40.09999847412109,48.400001525878906,188.6000061035156
2016-08-29,79.55000305175781,9.949383735656738,34.41021728515625,38.720001220703125,4.940000057220459,3.400000095367432,31.200000762939453,40.400001525878906,48.20000076293945,188.0
2016-08-30,80.0999984741211,9.99027156829834,34.485347747802734,38.7599983215332,4.989999771118164,3.450000047683716,31.149999618530277,42.34999847412109,48.79999923706055,190.1000061035156
2016-08-31,79.55000305175781,10.08567714691162,34.07212448120117,38.91999816894531,4.929999828338623,3.490000009536743,31.450000762939453,41.45000076293945,49.04999923706055,189.6999969482422
2016-09-01,79.9000015258789,10.01753044128418,34.18482208251953,39.0,4.96999979019165,3.549999952316284,31.0,41.5,49.45000076293945,190.1999969482422
2016-09-02,80.0,9.93575382232666,34.07212448120117,39.040000915527344,4.900000095367432,3.569999933242798,30.299999237060547,41.95000076293945,49.95000076293945,190.8000030517578
2016-09-05,80.1500015258789,9.9630126953125,34.598045349121094,40.15999984741211,4.980000019073486,3.650000095367432,30.450000762939453,41.900001525878906,50.400001525878906,194.3999938964844
2016-09-06,79.5,9.949383735656738,34.673179626464844,40.2400016784668,5.050000190734863,3.700000047683716,30.399999618530277,41.5,50.400001525878906,198.1000061035156
2016-09-07,80.19999694824219,9.93575382232666,34.56047821044922,40.0,5.059999942779541,3.700000047683716,30.399999618530277,39.70000076293945,50.79999923706055,198.0
2016-09-08,80.6500015258789,9.976641654968262,34.78587341308594,40.79999923706055,5.059999942779541,3.700000047683716,30.5,40.59999847412109,50.900001525878906,198.6000061035156
2016-09-09,81.0,10.08567714691162,35.61231994628906,41.36000061035156,5.059999942779541,3.7200000286102295,30.25,38.59999847412109,51.29999923706055,209.6000061035156
2016-09-12,79.30000305175781,9.908495903015137,34.41021728515625,40.15999984741211,4.829999923706055,3.559999942779541,29.850000381469727,37.0,50.09999847412109,201.0
2016-09-13,78.44999694824219,9.785832405090332,33.99699401855469,39.720001220703125,4.809999942779541,3.5199999809265137,29.350000381469727,37.650001525878906,49.95000076293945,198.0
2016-09-14,78.44999694824219,9.799461364746094,34.10969161987305,39.7599983215332,4.800000190734863,3.5299999713897705,29.100000381469727,38.29999923706055,50.04999923706055,199.3000030517578
2016-09-15,78.69999694824219,9.99027156829834,34.07212448120117,40.08000183105469,4.820000171661377,3.549999952316284,29.450000762939453,39.150001525878906,50.34999847412109,203.6000061035156
2016-09-19,79.5999984741211,10.04478931427002,34.74831008911133,40.880001068115234,4.920000076293945,3.609999895095825,29.850000381469727,38.900001525878906,51.25,204.1999969482422
2016-09-20,80.19999694824219,10.099306106567385,34.447784423828125,41.040000915527344,4.96999979019165,3.619999885559082,29.450000762939453,38.900001525878906,50.59999847412109,207.1999969482422
2016-09-21,79.8499984741211,10.112935066223145,34.8985710144043,41.20000076293945,5.03000020980835,3.670000076293945,29.450000762939453,38.70000076293945,50.75,208.0
2016-09-22,80.5999984741211,10.08567714691162,35.274227142333984,41.27999877929688,5.03000020980835,3.630000114440918,29.5,37.75,51.400001525878906,206.8000030517578
2016-09-23,80.25,10.126564979553224,35.236663818359375,41.36000061035156,4.880000114440918,3.569999933242798,29.350000381469727,37.29999923706055,51.79999923706055,205.0
2016-09-26,79.5,10.003900527954102,35.236663818359375,40.63999938964844,4.849999904632568,3.5299999713897705,29.100000381469727,36.09999847412109,51.20000076293945,203.0
2016-09-27,80.25,10.08567714691162,35.31179428100586,40.880001068115234,4.96999979019165,3.5999999046325684,29.600000381469727,37.75,51.900001525878906,205.3999938964844
2016-09-28,80.30000305175781,10.153822898864746,35.16153335571289,41.040000915527344,4.96999979019165,3.619999885559082,29.25,37.45000076293945,52.25,206.3999938964844
2016-09-29,80.1500015258789,10.181081771850586,35.274227142333984,40.880001068115234,4.989999771118164,3.609999895095825,29.649999618530277,38.59999847412109,52.54999923706055,206.8000030517578
2016-09-30,80.1500015258789,9.976641654968262,34.56047821044922,40.31999969482422,4.849999904632568,3.539999961853028,30.299999237060547,38.29999923706055,51.54999923706055,203.8000030517578
2016-10-03,80.30000305175781,10.003900527954102,34.78587341308594,40.400001525878906,4.909999847412109,3.549999952316284,30.25,39.79999923706055,52.5,205.8000030517578
2016-10-04,79.55000305175781,9.99027156829834,35.236663818359375,40.720001220703125,4.949999809265137,3.5999999046325684,30.200000762939453,39.900001525878906,52.70000076293945,207.1999969482422
2016-10-05,79.0999984741211,10.01753044128418,35.011268615722656,40.400001525878906,4.960000038146973,3.5999999046325684,30.0,40.150001525878906,53.34999847412109,207.3999938964844
2016-10-06,78.69999694824219,9.99027156829834,34.78587341308594,40.15999984741211,5.0,3.640000104904175,29.950000762939453,39.59999847412109,53.84999847412109,208.1999969482422
2016-10-07,78.5,9.99027156829834,34.673179626464844,40.2400016784668,5.0,3.630000114440918,30.25,39.150001525878906,53.95000076293945,208.8000030517578
2016-10-11,77.3499984741211,10.003900527954102,34.18482208251953,39.119998931884766,4.909999847412109,3.569999933242798,30.25,39.29999923706055,53.09999847412109,206.8000030517578
2016-10-12,77.80000305175781,10.04478931427002,34.03456115722656,38.52000045776367,4.820000171661377,3.470000028610229,30.549999237060547,39.29999923706055,53.09999847412109,206.0
2016-10-13,76.5,9.9630126953125,34.14725875854492,38.59999847412109,4.690000057220459,3.4100000858306885,30.299999237060547,37.84999847412109,51.5,203.1999969482422
2016-10-14,77.44999694824219,10.072047233581545,34.18482208251953,38.68000030517578,4.71999979019165,3.440000057220459,30.25,38.34999847412109,52.09999847412109,205.3999938964844
2016-10-17,77.3499984741211,10.04478931427002,33.9218635559082,38.47999954223633,4.679999828338623,3.4200000762939453,29.950000762939453,38.5,51.59999847412109,203.3999938964844
2016-10-18,77.5,10.112935066223145,34.335086822509766,39.08000183105469,4.769999980926514,3.5,30.200000762939453,39.900001525878906,52.59999847412109,205.3999938964844
2016-10-19,77.69999694824219,10.126564979553224,34.14725875854492,38.63999938964844,4.710000038146973,3.470000028610229,30.799999237060547,39.95000076293945,52.29999923706055,205.3999938964844
